matricule,statut,departement
user1864,Active,Sales
user1010,Terminated,Research & Development
user0097,Active,Research & Development
user1598,Active,Sales
user1471,Active,Research & Development
user1720,Active,Research & Development
user0933,Active,Research & Development
user1004,Terminated,Research & Development
user1768,Active,Research & Development
user0550,Active,Research & Development
user0791,Active,Research & Development
user1369,Active,Research & Development
user0367,Active,Research & Development
user1467,Terminated,Human Resources
user0649,Active,Research & Development
user0901,Active,Research & Development
user0501,Active,Research & Development
user0388,Active,Sales
user1314,Active,Human Resources
user1196,Active,Research & Development
user0922,Terminated,Sales
user1725,Active,Research & Development
user1434,Active,Research & Development
user0984,Active,Sales
user0679,Active,Research & Development
user1779,Active,Sales
user0850,Active,Research & Development
user0410,Active,Sales
user0248,Terminated,Sales
user0947,Active,Sales
user1737,Active,Research & Development
user0075,Active,Research & Development
user1961,Active,Sales
user1979,Active,Research & Development
user0055,Terminated,Research & Development
user1372,Terminated,Sales
user0534,Active,Sales
user0643,Active,Research & Development
user0361,Active,Sales
user0417,Active,Research & Development
user1814,Active,Research & Development
user1352,Active,Human Resources
user1937,Active,Research & Development
user0622,Terminated,Research & Development
user1803,Active,Research & Development
user0743,Active,Research & Development
user0308,Active,Research & Development
user1297,Active,Research & Development
user1607,Active,Research & Development
user2068,Active,Research & Development
